titolo,autore,quantita,eta_minima,genere
1000 parole in inglese,Joy,1,10,lingua
Vocabulary & Grammar,Bertarini\ Lotti\ Olivier,1,10,lingua
The Ugly Duckling,Giunti,1,10,lingua
Come caterina salvò Babbo Natale,Cecco Mariniello,1,6,narrativa
Tre per Tre,Guido Quarzo,1,7,narrativa
Io sono blu,Irene Guglielmi,1,7,narrativa
The Gruffalo,Donaldson Scheffler,1,7,narrativa
Libro!,Kristine O'Connel George,1,7,narrativa
Oltre il muro ,Sidoti Balducci,1,9,narrativa
Le parole scappate,A. Pavini,1,8,narrativa
Inventario delle meraviglie del mondo ,Aladjidi ,1,9,scienza
Inventario della montagna,Aladjidi ,1,8,scienza
Nessuno è perfetto ,Nava,1,9,narrativa
La cosa più grandiosa,Spires,1,7,narrativa
La geometria del faraone ,CErasoli,1,7,storia
Bandiera,Mario Lodi ,1,7,narrativa
Tre zampe ,Strada,1,7,narrativa
Vogliamo ricordare,Buongiorno - Canova -Levi,1,7,narrativa
L'anatra zoppa e la gallina cieca,Hub,1,6,narrativa
Ad abbracciar nessuno,Papini,1,8,narrativa
TEsori di carta medioevo ,editoriale scienza,1,8,narrativa

Sleeping beauty,Gastault,1,10,lingua
