titolo,autore,quantita,eta_minima,genere
I conflitti globali,L. Spilsbury; H. Kai,1,20,storia
I laboratori della fantasia,vari,1,20,saggio
I miti della preistoria,N. Vittori,1,8,storia
I need a hug,A. Blabey,1,10,lingue
I promossi sposi,Alessandro manzoni,1,10,narrativa
I racconti della foresta,H. Quiroga,1,10,narrativa
I ragazzi della via Pal,F. Molnar,1,10,narrativa
I rapatori di teste,M- Moschini,1,10,narrativa
I tre delitti di Anubi ,Convard,1,8,giallo
I viaggi di Gulliver ,Swift Jonathan  ,1,8,narrativa
Il barone di Munchhausen,Il mulino a vento,2,9,narrativa
Il bosco delle lettere,P- Costalunga,1,7,narrativa
Il brutto anatroccolo ,Edizioni El,1,6,narrativa
Il cavallo che non voleva correre,C. Balding,1,6,narrativa
Il club dei cuochi segreti,E. Bussolati F. Buglioni,1,6,giallo
Il codice dei ladri,Stivenson,1,8,giallo
Il compleanno di Pokonaso,Topo di biblioteca,1,7,narrativa
Il concorso mostruoso,J. Niebisch,1,7,giallo
Il diario segreto di Colette,Tea Stilton,1,7,narrativa
Il formichiere pilota,Mondadori,1,7,narrativa
Il frantoio delle storie ,Giunti progetti educativi ,1,7,saggio
Il galeone dei gatti pirati,G. Stilton,1,6,narrativa
Il gallo che amava la luna,Piccione,1,7,narrativa
Il gallo che amava la luna,A. Piccione,1,7,narrativa
Il giallo del sorriso scomparso ,Lavatelli,1,7,giallo
Il giardino segreto,F. Burnett,1,8,giallo
Il giornalino di GianBurrasca,Vamba,1,7,narrativa
Il giro del mondo in 5 misteri,Stevensono,1,7,narrativa
Il giro del mondo in 5 misteri,Steve Stevenson,1,7,narrativa
Il giro del mondo in 80 giorni,G. Stilton,1,6,narrativa
Il giro del mondo in 80 giorni,J. Verne,1,8,narrativa
Il giubbotto di Indiana Jones,A. Balsola,1,8,narrativa
Il gran premio intergalattico stellare!,Armando Traverso,1,9,narrativa
Il libro della giungla,R. Kipling,1,9,narrativa
Il libro gioco.Cerca una storia 1,Carravieri e Valenziano,1,6,saggio
Il lupo che sognava il mare,O. Lallemand,1,7,narrativa
Il mago di Oz,L. F. Baum,1,8,narrativa
Il mio amico Gesù,Io leggo da solo,1,7,religione
Il mio compagno è una cicala,Annalisa Strada,1,7,narrativa
Il mistero dell'acqua,L. Walter,1,7,giallo
Il mistero dell'isola verde,G. Stilton,1,6,giallo
Il mistero della pietra nera,M. Tomatis,1,7,giallo
Il mistero dello scienziato pazzo,R.L. Stine,1,7,giallo
Il mistero dipinto,Cercenà,1,7,giallo
Il mondo di Angel's friends,Giunti Junior,1,10,narrativa
il mondo mi riguarda,clelia lombardo,1,10,narrativa
Il natale degli gnomi,S.L. Bortot,1,6,narrativa
Il nonno insuperabile,Io leggo da solo,1,6,narrativa
"Il pallone è maschio, la palla è femmina",L- Frescura,1,8,sport
Il peggior amico,M. Peterson,2,8,giallo
Il pentolino di Antonino,I. Carrier,1,7,narrativa
Il pianeta degli alberi di Natale,G. Rodari,1,7,narrativa
Il piccolo Lord,F. Burnett,1,7,narrativa
Il piccolo principe,Antoine de Saint-Exupery,1,6,narrativa
Il principe felice e altri racconti,O. Wilde,1,6,narrativa
Il professore non è matto,Il mulino a vento,1,7,narrativa
Il pupazzo parlante,Stine,1,7,narrativa
Il ragioniere-pesce del Cusio,Rodari,1,7,narrativa
Il richiamo della foresta .,Jack London,1,9,narrativa
Il segreto dei vasi neri,N. Vittori,1,7,giallo
Il segreto del coraggio,Geronimo Stilton,1,7,giallo
Il segreto di Nefertiti,Colombo & Simioni,1,7,storia
Il tempio del rubino di fuoco,Geronimo Stilton,1,7,narrativa
Il tesoro della foresta oscura2,G. Stilton,2,8,narrativa
Il tesoro delle colline nere,G. Stilton,1,8,narrativa
Il trattamento ridarelli,KJ.K. Rowling,1,8,narrativa
Il veliero del capitano Strong,Serie blu,1,7,narrativa
Il veliero di Capitano Strong,Mantovani,1,7,narrativa
Ilaboratori della fantasia,Fondazione Marazza,1,6,saggio
In giro per il mondo,Richard Scarry,1,7,narrativa
informa ragazzi! storie di sport e di vita sana,franceso matteuzzi,1,10,sport
io conto,anna cerasoli,1,8,saggio
Janurè e le favole del mondo,Il mulino a vento,1,8,narrativa
King donkey ears,Lesley Sims,1,10,lingue
"Koll, la città sulle isole",Il mulino a vento,2,9,narrativa
L' eco  delle   battaglie,Santuliana,1,10,narrativa
l' isola dei libri perduti ,annalisa strada,1,8,narrativa
L' orripilante mostro trinciasucchiapelo,Riva,1,8,narrativa
L'acqua . Alla salute dei reni ,La guida della salute ,2,10,scienza
L'acqua di Bumba .,Roberto Piumini ,1,8,narrativa
L'alchimia di Nina ,Witcher,1,8,narrativa
l'allegra spedizione!,Priuli & Verlucca,1,7,narrativa
L'antica Roma,N. Vittori,1,10,storia
L'Eneide,C. Elliott,1,10,storia
L'era glaciale 2 .Tutti i segreti,Mondadori ,1,7,narrativa
L'isola delle tabelline,G. Pettarin,1,7,matematica
L'odissea,N. Vittori,1,10,storia
L'omino nella tromba,Il mulino a vento,1,8,narrativa
L'uomo che piantava gli alberi,Jean Giono,1,8,narrativa
la  stanza  dell'equinozio,fattorini,2,8,giallo
La baby-sitter ,R.L. Stine,1,8,narrativa
La bambola viva,Bianca Pitzorno,1,8,narrativa
La battaglia dei colori,Piumini,1,6,narrativa
La casa di nonna Italia,P- valente,1,8,storia
La costituzione raccontata ai bambini,A. Sarfatti,1,8,storia
La famiglia è ...,Ciss,1,7,saggio
La leggenda di Re Artu,Giunti,1,8,storia
La montagna di libri più alta del mondo,Valentina edizioni,1,8,narrativa
La mummia senza nome,Geronimo Stilton,1,8,giallo
La musica di Ginko,R. Piumini,1,8,narrativa
La nascita della Repubblica Italiana e la sua Costituzione,none,1,10,storia
La notte. cosa succcede mentre dormiamo,M. Strugala; M. Piatkowska,1,10,scienza
La nuova dinastia,S. De Mari,1,9,storia
La pioggia,A Pandini - C. Manea,1,6,scienza
La promessa della nonna,Montgomery  litchfield,1,7,narrativa
La scatola dei desideri,W. Mass,1,8,narrativa
La scuola materna,Edizioni El,1,20,saggio
La spada nella roccia,G. Stilton,1,6,narrativa
La Spada nella roccia,Walt Disney,1,6,narrativa
La stanza dell'equinozio,Il mulino a vento,2,9,scienza
La straordinaria invenzione di Hugo Cabret,Selznick,1,8,narrativa
La strega della montagna,Gloria Cecilia Diaz,1,7,giallo
La tela di Carlotta,E.B. White,1,8,narrativa
La televisione prepotente,Roncaglia,1,7,saggio
La tombola delle sillabe e delle parole,M. Brignola,1,6,saggio
La torre Eiffel all'attacco,BEigel- Mansot ,1,10,narrativa
La vendetta delle orfanelle maleducate,C. Capria; M. Martucci,1,9,narrativa
La volpe del colore che non c'è,Sidori,1,6,narrativa
La zia ciabatta,A. Vitali,1,7,narrativa
Le 110 storie più belle della bibbia.,Editrice Piccoli ,1,6,religione
Le 4 stagioni ,Disney babies,1,6,scienza
Le avventure di Gian Burrasca,Vamba,3,7,narrativa
Le avventure di Pinocchio,Topo di biblioteca,1,6,narrativa
Le avventure di Tom Sawyer,M. Twain,1,9,narrativa
Le cose che passano,B. Alemagna,1,8,storia
Le cronache di Narnia 1,C.S. Lewis,1,8,narrativa
Le due tigri,E. Salgari,1,8,narrativa
Le due tigri,E. salgari,1,8,narrativa
Le invenzioni come sono nate,Fratelli Fabbri editori,1,10,scienza
Le mie fiabe preferite. Aladino e la lampada magica,Lito editore ,1,6,narrativa
Le mie ricerche sugli animali - mammiferi 1,L. Quaresima,1,10,scienza
Le più belle favole,Esopo,1,6,narrativa
Le più belle storie del battello a vapore,Il battello a vapore,1,8,narrativa
Le più belle storie di -natale - Il coniglietto di velluto ,Gribaudo,1,6,narrativa
Le più belle storie di -natale - La notte prima di _Natale ,Gribaudo,1,6,narrativa
Le più belle storie di natale . Babbo Natale e la notte dei sogni ,Gribaudo ,1,6,narrativa
Le più belle storie di natale . Il canto di natale ,Gribaudo,1,6,narrativa
Le più belle storie di Natale . Il gigante egoista ,Gribaudo ,1,6,narrativa
Le più belle storie di natale . La leggenda dell'albero di natale ,Gribaudo ,1,6,narrativa
Le più belle storie di Natale . La muffola bianca ,Gribaudo,1,6,narrativa
Le più belle storie di natale . La regina delle nevi,Gribaudo ,1,6,narrativa
Le più belle storie di natale . La storia di babbo natale ,Gribaudo,1,6,narrativa
Le più belle storie di Natale . La storia di Santa Lucia ,Gribaudo ,1,6,narrativa
Le più belle storie di natale . Storia di una stellina ,Gribaudo ,1,6,narrativa
le scoperte della preistoria ,nadia vittori,1,8,storia
Le spedizioni polari,Autori vari,1,8,scienza
Le storie più belle . Cappuccetto rosso ,Gribaudo,1,6,narrativa
Le storie più belle . Il tesoro di Capitain Kidd,Gribaudo ,1,6,narrativa
Le storie più belle .Il mio amico drago ,Gribaudo,1,6,narrativa
Le storie più belle .Le oche del campidoglio ,Gribaudo,1,6,storia
Le storie più belle. Cenerentola,Gribaudo ,1,6,narrativa
Le storie più belle. Il folletto del compleanno ,Gribaudo ,1,6,narrativa
Le storie più belle. Prometeo il ladro del fuoco .,Gribaudo ,1,6,narrativa
Le storie più belle. Romolo e Remo ,Gribaudo ,1,6,storia
Le storie ritrovate,none,1,6,narrativa
Le straordinarie avventure di nonno Nino,C. Mariniello,1,6,narrativa
Le streghe,R. Dahl,1,8,narrativa
Le valigie di Auschwitz,D. Palumbo,1,9,storia
Le voci della salute,Le guide della Salute,2,10,scienza
Leggere le sillabe giocando,M.C Meloni,1,6,saggio
Leggimi una fiaba. Aladino ,EduBimbi ,1,6,narrativa
Leggimi una fiaba. I vestiti nuovi dell'imperatore ,EduBimbi ,1,6,narrativa
Leggimi una fiaba. re Artù e la spada Excalibur ,Edibimbi ,1,6,narrativa
Leo e ...Poldo,Il mulino a vento,1,8,narrativa
Lo scrigno delle farfalle,C. Capitanio,1,6,narrativa
Lo scrigno delle farfalle,C. Capitanio,1,6,narrativa
Lo strano caso del calamorone gigante,G. Stilton,1,6,giallo
Lo strano caso del lago di croste,G. Stilton,1,7,giallo
Lo strano caso dell'esploratore Stanley Livingstone,Luigi Dal Cin ,2,7,giallo
Lucas dalle ali rosse,C. Randall,1,8,narrativa
Ma dov'è il carnevale,Simone Frasca,1,8,narrativa
Madeline,Il battello a vapore,1,10,narrativa
Magie della scienza,"Pini, Mazza, Padoa-Schioppa",1,10,scienza
mal di scuola,giovanna ramera,1,8,narrativa
Martina piccolo lupo,Jonathan Bernasconi,1,7,narrativa
Mary Poppins,P.L. Travers,1,9,narrativa
Mille papaveri rossi,Pro Loco Cureggio,1,10,storia
Mille parole in inglese,AAVV,1,10,lingue
Missione inventa la città 8,G. Stilton,2,10,narrativa
Misteri per tutti i gusti,Il mulino a vento,1,8,giallo
Misteri per tutti i gusti!,"Bordiglioni,Fattorini,Morlaschi",1,8,giallo
Mistero a scuola,P. Belfiore,1,8,giallo
Monster blood tattoo,"D,M. Cornish",1,10,lingue
Naran e Oyuna,R. Piumini,1,10,narrativa
Nata sotto un cavolo,G. Pirola,1,8,narrativa
Nel mio quartiere non succede mai niente,E. Raskin,1,9,narrativa
Nel regno della fantasia,G. Stilton,2,6,narrativa
Nella mia scuola nessuno è straniero ,Scuola primaia di Maggiora,3,10,narrativa
Nessy il mostro,Il rosicchia favole,6,8,giallo
Nina e la capanna del cuore,M. Albertini,1,7,narrativa
Nina la bambina della sesta luna,Giunti Junior,1,7,narrativa
Non ci sto! I bambini contro l'illegalità,A. Sarfatti,1,10,narrativa
Non piangere Zebrino,Petit,1,7,narrativa
Nonno Tano,R. Grazzani,1,8,narrativa
Nonno Tano,R- Grazzani,1,8,narrativa
Oggi cucino con Valentina,Angelo Petrosino,1,8,narrativa
Oggi tocca a me,Io leggo da solo,1,9,narrativa
Oggi valorosamente sono entrato a Trento,Mille papaveri rossi,1,10,saggio
olivia e il grido della foresta,laure monloubou,1,9,narrativa
On the beach,Celtic Publishing,1,10,lingua
Operazione aria pulita - 3,G. Stilton,2,6,scienza
Origami .Decorazioni e giochi con la carta ,Kenneway,1,6,saggio
Ossi di dinosauro,A. Lavatelli,1,8,storia
Pace e libertà ,ANPI Maggiora ,1,10,saggio
Perfettamente diversi,Io leggo da solo,1,10,narrativa
Peter Pan,J. Barrie,1,8,narrativa
Peter Pan - serie gialla,J.M. Barrie,1,8,narrativa
Piccole donne,G. Stilton,1,9,narrativa
Piccole donne,L.M. Alcott,1,9,narrativa
Piccole donne,Alcott- Dami editore,1,9,narrativa
Piccoli brividi,R.L.Stine,1,9,giallo
Piccoli dinosauri . Abbasso i piselli !,Rob Biddulph,1,6,storia
Pirati in autobus,Morgan,1,7,narrativa
Poi sono arrivata io,D. Palumbo,1,7,narrativa
Popples,Daniela Padoan,1,10,lingua
Presto torneremo a casa,J. Bad Bonde; P. Bergting,1,7,narrativa
Principessa Alice e lo specchio magico,Vivian French,1,7,narrativa
Puzza e verdura,C. Marsi,1,7,narrativa
Questo posso farlo,Satge Tone,1,6,narrativa
Racconti della foresta,Le cicale,1,7,narrativa
Rana e rospo sempre insieme.,Arnold Lobel,1,7,scienza
Romeo and Juliet,Usborne Picture books,1,10,lingue
Sandra: la capra detective- Le uova scomparse,G. Campello,1,8,giallo
scheletri e mummie,ralphs-wright,1,8,giallo
Scheletri e mummie,M. Ralphs; G. Wright,1,8,giallo
Secondo viaggio nel regno della fantasia,G. Stilton,1,6,narrativa
Selvaggia Dior e le parole del tempo . Oscuri misteri in mesopotamia ,Carraro Gloria ,1,8,giallo
Sentieri di conchiglie,B. Tognolini,1,8,narrativa
Sii gentile,"Miller, Hill",1,8,narrativa
Sleeping beauty,Mackinnon,1,10,lingua
Snow white and the seven dwarfs,Grimm,1,10,lingua
Solo per un giorno,Manfredi Mai,1,8,narrativa
SOS spazzatura da salvare 5,G. Stilton,1,6,scienza
SOS... Cerco musica disperatamente,Gabriella Santini,1,6,narrativa
Storia di una gabbianella e del gatto che le insegnò a volare,L. Sepùlveda,1,6,narrativa
Storia di una gabianella e del gatto che le insegnò a volare ,Sepulveda Luis ,1,6,narrativa
Storia di una gatto e del topo che diventò suo amico ,Luis Sepulveda,1,6,narrativa
Storia universale,Gianni Rodari,1,10,storia
storie  del bosco di gnomi e di giganti,tony wolf,1,6,narrativa
storie  del bosco e di gnomi,tony wolf,1,6,narrativa
Storie con la CAA3,Artisti vari,1,6,saggio
